Rank,Title,Year,Runtime,Certificate,Rating,URL
The,Usual Suspects,1995,1h 46m,18,"8.5
 (1.2M)",https://www.imdb.com/title/tt0114814/?ref_=chttp_t_49
Django,Unchained,2012,2h 45m,18,"8.5
 (1.9M)",https://www.imdb.com/title/tt1853728/?ref_=chttp_t_50
Alien,,1979,1h 57m,X,"8.4
 (1.1M)",https://www.imdb.com/title/tt0078748/?ref_=chttp_t_51
Rear,Window,1954,1h 52m,A,"8.4
 (570K)",https://www.imdb.com/title/tt0047396/?ref_=chttp_t_52
Modern,Times,1936,1h 27m,U,"8.5
 (286K)",https://www.imdb.com/title/tt0027977/?ref_=chttp_t_53
Once,Upon a Time in the West,1968,2h 46m,12,"8.5
 (385K)",https://www.imdb.com/title/tt0064116/?ref_=chttp_t_54
City,Lights,1931,1h 27m,U,"8.5
 (217K)",https://www.imdb.com/title/tt0021749/?ref_=chttp_t_55
WALL·E,,2008,1h 38m,U,"8.4
 (1.3M)",https://www.imdb.com/title/tt0910970/?ref_=chttp_t_56
Apocalypse,Now,1979,2h 27m,X,"8.4
 (773K)",https://www.imdb.com/title/tt0078788/?ref_=chttp_t_57
Memento,,2000,1h 53m,15,"8.4
 (1.4M)",https://www.imdb.com/title/tt0209144/?ref_=chttp_t_58
Dune:,Part Two,2024,2h 46m,12A,"8.4
 (768K)",https://www.imdb.com/title/tt15239678/?ref_=chttp_t_59
Avengers:,Infinity War,2018,2h 29m,12A,"8.4
 (1.4M)",https://www.imdb.com/title/tt4154756/?ref_=chttp_t_60
Raiders,of the Lost Ark,1981,1h 55m,12A,"8.4
 (1.1M)",https://www.imdb.com/title/tt0082971/?ref_=chttp_t_61
Spider-Man:,Into the Spider-Verse,2018,1h 57m,PG,"8.4
 (796K)",https://www.imdb.com/title/tt4633694/?ref_=chttp_t_62
The,Lives of Others,2006,2h 17m,15,"8.4
 (444K)",https://www.imdb.com/title/tt0405094/?ref_=chttp_t_63
Sunset,Boulevard,1950,1h 50m,12A,"8.4
 (262K)",https://www.imdb.com/title/tt0043014/?ref_=chttp_t_64
Witness,for the Prosecution,1957,1h 56m,U,"8.4
 (163K)",https://www.imdb.com/title/tt0051201/?ref_=chttp_t_65
Paths,of Glory,1957,1h 28m,PG,"8.4
 (240K)",https://www.imdb.com/title/tt0050825/?ref_=chttp_t_66
The,Shining,1980,2h 26m,X,"8.4
 (1.2M)",https://www.imdb.com/title/tt0081505/?ref_=chttp_t_67
The,Great Dictator,1940,2h 5m,U,"8.4
 (259K)",https://www.imdb.com/title/tt0032553/?ref_=chttp_t_68
Inglourious,Basterds,2009,2h 33m,18,"8.4
 (1.8M)",https://www.imdb.com/title/tt0361748/?ref_=chttp_t_69
Aliens,,1986,2h 17m,18,"8.4
 (842K)",https://www.imdb.com/title/tt0090605/?ref_=chttp_t_70
12th,Fail,2023,2h 27m,12A,"8.7
 (174K)",https://www.imdb.com/title/tt23849204/?ref_=chttp_t_71
High,and Low,1963,2h 23m,12,"8.4
 (72K)",https://www.imdb.com/title/tt0057565/?ref_=chttp_t_72
Avengers:,Endgame,2019,3h 1m,12A,"8.4
 (1.5M)",https://www.imdb.com/title/tt4154796/?ref_=chttp_t_73
