Rank,Title,Year,Runtime,Certificate,Rating,URL
Pirates,of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,12A,"8.1
 (1.3M)",https://www.imdb.com/title/tt0325980/?ref_=chttp_t_218
Mr.,Smith Goes to Washington,1939,2h 9m,U,"8.1
 (130K)",https://www.imdb.com/title/tt0031679/?ref_=chttp_t_219
Tokyo,Story,1953,2h 17m,U,"8.1
 (78K)",https://www.imdb.com/title/tt0046438/?ref_=chttp_t_220
La,haine,1995,1h 38m,15,"8.1
 (228K)",https://www.imdb.com/title/tt0113247/?ref_=chttp_t_221
Spotlight,,2015,2h 9m,15,"8.1
 (537K)",https://www.imdb.com/title/tt1895587/?ref_=chttp_t_222
On,the Waterfront,1954,1h 48m,A,"8.1
 (179K)",https://www.imdb.com/title/tt0047296/?ref_=chttp_t_223
The,Sound of Music,1965,2h 54m,U,"8.1
 (292K)",https://www.imdb.com/title/tt0059742/?ref_=chttp_t_224
Wild,Strawberries,1957,1h 32m,A,"8.1
 (125K)",https://www.imdb.com/title/tt0050986/?ref_=chttp_t_225
Jai,Bhim,2021,2h 44m,Not Rated,"8.6
 (235K)",https://www.imdb.com/title/tt15097216/?ref_=chttp_t_226
The,Terminator,1984,1h 47m,18,"8.1
 (1M)",https://www.imdb.com/title/tt0088247/?ref_=chttp_t_227
Maharaja,,2024,2h 21m,15,"8.3
 (83K)",https://www.imdb.com/title/tt26548265/?ref_=chttp_t_228
The,Third Man,1949,1h 44m,A,"8.1
 (196K)",https://www.imdb.com/title/tt0041959/?ref_=chttp_t_229
The,Best Years of Our Lives,1946,2h 50m,U,"8.1
 (76K)",https://www.imdb.com/title/tt0036868/?ref_=chttp_t_230
The,Big Lebowski,1998,1h 57m,18,"8.1
 (919K)",https://www.imdb.com/title/tt0118715/?ref_=chttp_t_231
Before,Sunset,2004,1h 20m,15,"8.1
 (317K)",https://www.imdb.com/title/tt0381681/?ref_=chttp_t_232
The,Incredibles,2004,1h 55m,U,"8.0
 (906K)",https://www.imdb.com/title/tt0317705/?ref_=chttp_t_233
Room,,2015,1h 58m,15,"8.1
 (482K)",https://www.imdb.com/title/tt3170832/?ref_=chttp_t_234
Hachi:,A Dog's Tale,2009,1h 33m,U,"8.1
 (344K)",https://www.imdb.com/title/tt1028532/?ref_=chttp_t_235
The,Seventh Seal,1957,1h 36m,X,"8.1
 (216K)",https://www.imdb.com/title/tt0050976/?ref_=chttp_t_236
Hotel,Rwanda,2004,2h 1m,12A,"8.1
 (393K)",https://www.imdb.com/title/tt0395169/?ref_=chttp_t_237
Platoon,,1986,2h,15,"8.1
 (473K)",https://www.imdb.com/title/tt0091763/?ref_=chttp_t_238
The,Exorcist,1973,2h 2m,X,"8.1
 (500K)",https://www.imdb.com/title/tt0070047/?ref_=chttp_t_239
The,Iron Giant,1999,1h 26m,U,"8.1
 (262K)",https://www.imdb.com/title/tt0129167/?ref_=chttp_t_240
Rush,,2013,2h 3m,15,"8.1
 (561K)",https://www.imdb.com/title/tt1979320/?ref_=chttp_t_241
Stand,by Me,1986,1h 29m,15,"8.1
 (489K)",https://www.imdb.com/title/tt0092005/?ref_=chttp_t_242
The,Wizard of Oz,1939,1h 42m,A,"8.1
 (469K)",https://www.imdb.com/title/tt0032138/?ref_=chttp_t_243
The,Battle of Algiers,1966,2h 1m,X,"8.1
 (76K)",https://www.imdb.com/title/tt0058946/?ref_=chttp_t_244
My,Father and My Son,2005,1h 52m,PG,"8.2
 (101K)",https://www.imdb.com/title/tt0476735/?ref_=chttp_t_245
The,Passion of Joan of Arc,1928,1h 50m,A,"8.1
 (69K)",https://www.imdb.com/title/tt0019254/?ref_=chttp_t_246
The,Handmaiden,2016,2h 25m,18,"8.1
 (205K)",https://www.imdb.com/title/tt4016934/?ref_=chttp_t_247
Drishyam,,2013,2h 40m,12A,"8.4
 (49K)",https://www.imdb.com/title/tt3417422/?ref_=chttp_t_248
Gangs,of Wasseypur,2012,5h 21m,18,"8.2
 (115K)",https://www.imdb.com/title/tt1954470/?ref_=chttp_t_249
96,,2018,2h 38m,PG,"8.5
 (46K)",https://www.imdb.com/title/tt7019842/?ref_=chttp_t_250
